class,pos,lemma,deprels,SIP/NSIP,factuality_type,factuality_type_full
conjecture,VERB,rumor,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,speculate,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,suggest,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,suppose,nsubjpass;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,suspect,prep_of;dobj;prep;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,talk,prep_of,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,worry,prep_about;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,assumption,prep_of;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,concern,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,conjecture,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,estimate,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,expectation,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,feeling,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,hypothesis,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,prediction,prep_of;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,presumption,prep_of;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,suggestion,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,supposition,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,suspicion,prep_of;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,NOUN,warning,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,ADJ,accused,prep_of;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,ADJ,confident,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,ADJ,presumed,xcomp;purpcl;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,ADJ,worried,prep_about;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
consider,VERB,consider,xcomp;dobj,NSIP,epistemic_ii,NSIP_epistemic_ii
deny,VERB,deny,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
deny,VERB,exclude,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
disclose,VERB,agree,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,applaud,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,ask,whycomp,SIP,presupposition,SIP_presupposition
disclose,VERB,assail,prep_for;prep;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,attack,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,attribute,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,believe,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,cable,prep_about,SIP,presupposition,SIP_presupposition
disclose,VERB,celebrate,dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,comment,prep_on,SIP,presupposition,SIP_presupposition
disclose,VERB,complain,prep_about,SIP,presupposition,SIP_presupposition
disclose,VERB,concern,prep_about;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,condemn,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,confirm,dobj;nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,criticize,prep_for;dobj;nsubjpass;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,declare,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,decry,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,defend,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,delight,xcomp;purpcl;prep_with;prep_about;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,demonstrate,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,denounce,dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,deny,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,deplore,dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,describe,nsubjpass;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,disclose,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,disregard,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,enjoy,xcomp;dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,estimate,nsubjpass;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,exclude,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,excuse,prep_for;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,expect,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,experience,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,explain,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,feel,prep_about;nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,find,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,forgive,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,gloss,prep_over,SIP,presupposition,SIP_presupposition
disclose,VERB,hail,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,hate,dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,hear,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,inform,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,investigate,nsubjpass;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,know,whycomp,SIP,presupposition,SIP_presupposition
disclose,VERB,lament,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,laugh,prep_at,SIP,presupposition,SIP_presupposition
disclose,VERB,learn,prep_about,SIP,presupposition,SIP_presupposition
disclose,VERB,list,nsubjpass;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,look,prep_at,SIP,presupposition,SIP_presupposition
disclose,VERB,love,ccomp;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,mean,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,notice,whycomp,SIP,presupposition,SIP_presupposition
disclose,VERB,notify,prep_about,SIP,presupposition,SIP_presupposition
disclose,VERB,observe,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,oppose,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,please,xcomp;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,predict,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,presume,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,protest,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,publish,prep_on;nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,quote,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,recall,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,recognize,prep_as;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,refer,prep_to,SIP,presupposition,SIP_presupposition
disclose,VERB,regret,dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,reject,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,remember,dobj;whycomp,SIP,presupposition,SIP_presupposition
disclose,VERB,report,prep_on;nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,resent,dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,reveal,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,rumor,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,say,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,see,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,sketch,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,specify,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,spell,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,spread,dobj;ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,support,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,surprise,xcomp;purpcl;nsubjpass,SIP,presupposition,SIP_presupposition
disclose,VERB,tell,prep_about,SIP,presupposition,SIP_presupposition
disclose,VERB,testify,prep_about,SIP,presupposition,SIP_presupposition
disclose,VERB,thank,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,value,nsubjpass;dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,view,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,watch,ccomp,SIP,presupposition,SIP_presupposition
disclose,VERB,welcome,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,witness,dobj,SIP,presupposition,SIP_presupposition
disclose,VERB,wonder,whycomp,SIP,presupposition,SIP_presupposition
disclose,NOUN,acceptance,prep_of,SIP,presupposition,SIP_presupposition
disclose,NOUN,affirmation,prep_about,SIP,presupposition,SIP_presupposition
disclose,NOUN,comment,prep_on;prep_about,SIP,presupposition,SIP_presupposition
disclose,NOUN,complaint,prep_about,SIP,presupposition,SIP_presupposition
disclose,NOUN,concern,prep_about,SIP,presupposition,SIP_presupposition
disclose,NOUN,disappointment,ccomp,SIP,presupposition,SIP_presupposition
disclose,NOUN,disclose,prep_of;ccomp,SIP,presupposition,SIP_presupposition
disclose,NOUN,estimate,prep_of,SIP,presupposition,SIP_presupposition
disclose,NOUN,laugh,prep_about,SIP,presupposition,SIP_presupposition
disclose,NOUN,pleasure,ccomp,SIP,presupposition,SIP_presupposition
disclose,NOUN,regret,prep_at;ccomp,SIP,presupposition,SIP_presupposition
disclose,NOUN,resentment,prep_about;ccomp,SIP,presupposition,SIP_presupposition
disclose,NOUN,view,prep_of,SIP,presupposition,SIP_presupposition
disclose,ADJ,crazy,xcomp;purpcl;infmod;prep_about;ccomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,delighted,xcomp;prep_with;purpcl;ccomp;prep_about;infmod,SIP,presupposition,SIP_presupposition
disclose,ADJ,exciting,ccomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,glad,"xcomp;prep_with;purpcl;ccomp;prep_about,infmod;prep",SIP,presupposition,SIP_presupposition
disclose,ADJ,happy,"xcomp;prep_with;purpcl;ccomp;prep_about,infmod;prep",SIP,presupposition,SIP_presupposition
disclose,ADJ,interesting,ccomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,pleased,xcomp;infmod;ccomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,presumed,nsubjpass,SIP,presupposition,SIP_presupposition
disclose,ADJ,proud,xcomp;infmod;ccomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,strange,ccomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,sure,prep_about,SIP,presupposition,SIP_presupposition
disclose,ADJ,surprised,xcomp;purpcl;nsubjpass,SIP,presupposition,SIP_presupposition
disclose,ADJ,unfortunate,ccomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,unhappy,"xcomp;prep_over;prep_with;purpcl;ccomp,prep_about;infmod;prep",SIP,presupposition,SIP_presupposition
disclose,ADJ,unknown,whycomp,SIP,presupposition,SIP_presupposition
disclose,ADJ,unsure,prep_about,SIP,presupposition,SIP_presupposition
disclose,ADJ,well-known,nsubj;ccomp,SIP,presupposition,SIP_presupposition
doubt,VERB,doubt,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
doubt,NOUN,doubt,prep_on;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
evidence,NOUN,evidence,prep_of;ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
evidence,ADJ,careful,xcomp,NSIP,epistemic_ii,NSIP_epistemic_ii
evidence,ADJ,evident,ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
expected,VERB,believe,xcomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
expected,VERB,expected,xcomp;purpcl;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
expected,VERB,thought,xcomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
fail,VERB,avoid,xcomp;purpcl,NSIP,implicative,NSIP_implicative
fail,VERB,cancel,nsubjpass;dobj,NSIP,implicative,NSIP_implicative
fail,VERB,deprive,prep_of,NSIP,implicative,NSIP_implicative
fail,VERB,excuse,prep_from,NSIP,implicative,NSIP_implicative
fail,VERB,fail,xcomp;purpcl,NSIP,implicative,NSIP_implicative
fail,VERB,forestall,dobj,NSIP,implicative,NSIP_implicative
fail,VERB,forget,xcomp,NSIP,implicative,NSIP_implicative
fail,VERB,head,xcomp;purpcl;dobj,NSIP,implicative,NSIP_implicative
fail,VERB,prevent,xcomp;purpcl;prep;prep_from;dobj,NSIP,implicative,NSIP_implicative
fail,VERB,refrain,prep_from,NSIP,implicative,NSIP_implicative
fail,NOUN,cancellation,prep_of,NSIP,implicative,NSIP_implicative
fail,NOUN,failure,prep_of,NSIP,implicative,NSIP_implicative
fail,NOUN,lack,prep_of,NSIP,implicative,NSIP_implicative
fail,ADJ,FALSE,ccomp,NSIP,implicative,NSIP_implicative
fear,VERB,confer,prep_on;dobj,SIP,opinion_reporting_i,SIP_opinion_reporting_i
fear,VERB,consider,xcomp;purpcl;dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
fear,VERB,fear,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
fear,NOUN,fear,prep_of;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
fear,ADJ,afraid,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
forget,VERB,forget,ccomp,SIP,presupposition,SIP_presupposition
hesitate,VERB,delay,dobj,NSIP,implicative,NSIP_implicative
hesitate,VERB,hesitate,xcomp;purpcl,NSIP,implicative,NSIP_implicative
hesitate,VERB,postpone,dobj,NSIP,implicative,NSIP_implicative
hesitate,VERB,stall,dobj,NSIP,implicative,NSIP_implicative
imagine,VERB,imagine,xcomp;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
imagine,NOUN,guess,prep_of;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
imply,VERB,imply,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
imply,VERB,indicate,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
imply,NOUN,implication,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
impossibility,NOUN,impossibility,xcomp;infmod;ccomp,NSIP,epistemic_i,NSIP_epistemic_i
impossibility,ADJ,impossible,xcomp;infmod;ccomp,NSIP,epistemic_i,NSIP_epistemic_i
improbability,NOUN,improbability,xcomp;infmod;ccomp,NSIP,epistemic_i,NSIP_epistemic_i
improbability,ADJ,improbable,xcomp;infmod;ccomp,NSIP,epistemic_i,NSIP_epistemic_i
improbability,ADJ,inconceivable,ccomp,NSIP,epistemic_i,NSIP_epistemic_i
improbability,ADJ,unlikely,xcomp;infmod;ccomp,NSIP,epistemic_i,NSIP_epistemic_i
know_that,VERB,accept,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,account,prep_for;prep,SIP,presupposition,SIP_presupposition
know_that,VERB,acknowledge,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,admit,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,clear,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,concede,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,discover,dobj;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,emphasize,dobj;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,expected,nsubjpass,SIP,presupposition,SIP_presupposition
know_that,VERB,explain,whycomp,SIP,presupposition,SIP_presupposition
know_that,VERB,figure,prep_out,SIP,presupposition,SIP_presupposition
know_that,VERB,find,prep_out;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,hear,prep_about;dobj;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,ignore,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,investigate,dobj,SIP,presupposition,SIP_presupposition
know_that,VERB,know,xcomp;prep_as;dobj;prep_about;prep_of;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,learn,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,note,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,notice,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,perceive,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,point,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,read,prep_about,SIP,presupposition,SIP_presupposition
know_that,VERB,realize,prep_about;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,remember,xcomp;prep_about;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,say,whycomp,SIP,presupposition,SIP_presupposition
know_that,VERB,see,xcomp;purpcl;dobj;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,shout,whycomp,SIP,presupposition,SIP_presupposition
know_that,VERB,signal,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,stress,dobj;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,understand,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,warn,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,account,prep_of,SIP,presupposition,SIP_presupposition
know_that,VERB,confirmation,prep_of,SIP,presupposition,SIP_presupposition
know_that,VERB,conjecture,prep_about,SIP,presupposition,SIP_presupposition
know_that,VERB,signal,ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,understanding,prep_of;ccomp,SIP,presupposition,SIP_presupposition
know_that,VERB,aware,prep_of;prep;ccomp,SIP,presupposition,SIP_presupposition
know_if,VERB,calculate,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,VERB,know,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,VERB,notice,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,VERB,remember,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,VERB,say,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,VERB,see,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,VERB,shout,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,NOUN,indication,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,ADJ,certain,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
know_if,ADJ,unknown,ifcomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
lookLike,VERB,appear,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
lookLike,VERB,look,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
manage,VERB,accept,dobj,NSIP,implicative,NSIP_implicative
manage,VERB,accomplish,xcomp;dobj,NSIP,implicative,NSIP_implicative
manage,VERB,achieve,xcomp;dobj,NSIP,implicative,NSIP_implicative
manage,VERB,acquire,dobj,NSIP,implicative,NSIP_implicative
manage,VERB,agree,xcomp;purpcl;prep_on,NSIP,implicative,NSIP_implicative
manage,VERB,allow,xcomp;purpcl,NSIP,implicative,NSIP_implicative
manage,VERB,approach,dobj,NSIP,implicative,NSIP_implicative
manage,VERB,become,dobj,NSIP,implicative,NSIP_implicative
manage,VERB,begin,xcomp;purpcl;dobj,NSIP,implicative,NSIP_implicative
manage,VERB,bother,xcomp;purpcl,NSIP,implicative,NSIP_implicative
manage,VERB,carry,dobj,NSIP,implicative,NSIP_implicative
