class,pos,lemma,deprels,SIP/NSIP,factuality_type,factuality_type_full
announce,VERB,agree,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,announce,dobj;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,assure,prep;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,certify,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,confirm,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,convict,prep_of,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,declare,xcomp;purpcl;dobj,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,deduce,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,deliver,dobj,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,discuss,dobj,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,divulge,dobj;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,ensure,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,guarantee,dobj;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,notify,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,post,dobj,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,prove,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,publish,dobj,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,reassure,prep;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,report,dobj,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,rule,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,VERB,show,dobj;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,announcement,prep_of;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,assurance,prep_of;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,certification,prep_of;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,confirmation,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,discovery,prep_of;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,guarantee,ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,indication,prep_of;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,proof,prep_of;ccomp,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
announce,NOUN,report,prep_of,SIP,opinion_reporting_ii,SIP_opinion_reporting_ii
appear,VERB,appear,ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
appear,VERB,seem,xcomp;ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
appear,NOUN,appearance,prep_of;ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
attempt,VERB,attempt,xcomp;purpcl,NSIP,implicative,NSIP_implicative
attempt,VERB,authorize,dobj,NSIP,implicative,NSIP_implicative
attempt,VERB,dare,xcomp;purpcl,NSIP,implicative,NSIP_implicative
attempt,VERB,intend,xcomp;purpcl,NSIP,implicative,NSIP_implicative
attempt,VERB,invite,purpcl,NSIP,implicative,NSIP_implicative
attempt,VERB,promise,xcomp;purpcl;infmod,NSIP,implicative,NSIP_implicative
attempt,VERB,try,xcomp;purpcl,NSIP,implicative,NSIP_implicative
attempt,NOUN,attempt,xcomp;purpcl;infmod,NSIP,implicative,NSIP_implicative
attempt,NOUN,effort,xcomp;purpcl;infmod,NSIP,implicative,NSIP_implicative
attempt,NOUN,promise,xcomp;purpcl;infmod,NSIP,implicative,NSIP_implicative
attempt,ADJ,available,prep_for,NSIP,implicative,NSIP_implicative
attempt,ADJ,enough,xcomp;purpcl;infmod;advcl,NSIP,implicative,NSIP_implicative
cause,VERB,assist,xcomp;purpcl,NSIP,implicative,NSIP_implicative
cause,VERB,cause,xcomp;purpcl,NSIP,implicative,NSIP_implicative
cause,VERB,ensure,dobj;ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,force,xcomp;purpcl,NSIP,implicative,NSIP_implicative
cause,VERB,grant,ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,guarantee,dobj;ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,help,xcomp;purpcl;ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,implement,dobj,NSIP,implicative,NSIP_implicative
cause,VERB,indicate,ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,lure,dobj,NSIP,implicative,NSIP_implicative
cause,VERB,mean,ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,persuade,dobj,NSIP,implicative,NSIP_implicative
cause,VERB,prove,acomp;ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,reveal,ccomp;dobj,NSIP,implicative,NSIP_implicative
cause,VERB,show,dobj;ccomp,NSIP,implicative,NSIP_implicative
cause,VERB,use,xcomp;purpcl,NSIP,implicative,NSIP_implicative
cause,NOUN,help,xcomp;purpcl;infmod,NSIP,implicative,NSIP_implicative
cause,NOUN,indication,prep_of;ccomp,NSIP,implicative,NSIP_implicative
cause,NOUN,indicator,prep_of;ccomp,NSIP,implicative,NSIP_implicative
cause,NOUN,sign,prep_of;prep;ccomp,NSIP,implicative,NSIP_implicative
cause,ADJ,due,xcomp;purpcl;infmod,NSIP,implicative,NSIP_implicative
certainty,NOUN,certainty,prep_of;prep_about;ccomp,NSIP,epistemic_i,NSIP_epistemic_i
certainty,ADJ,certain,ccomp,NSIP,epistemic_i,NSIP_epistemic_i
certainty,ADJ,sure,ccomp,NSIP,epistemic_i,NSIP_epistemic_i
confirm,VERB,confirm,ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
confirm,NOUN,confirmation,prep_of,NSIP,epistemic_ii,NSIP_epistemic_ii
confirm,NOUN,proof,prep_of;ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
confirm,NOUN,recognition,prep_of;ccomp,NSIP,epistemic_ii,NSIP_epistemic_ii
conjecture,VERB,anticipate,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,assume,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,caution,prep_about,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,concern,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,conjecture,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,estimate,prep_at;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,expect,xcomp;purpcl;dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,feel,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,figure,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,forecast,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,foresee,prep_as;dobj,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,guess,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,intimate,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,postulate,dobj,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,predict,dobj;ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,presume,xcomp;purpcl;ccomp;dobj,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,project,ccomp,SIP,opinion_reporting_i,SIP_opinion_reporting_i
conjecture,VERB,reckon,prep_on,SIP,opinion_reporting_i,SIP_opinion_reporting_i
